logs/depth.did.Reb1.500K.log.err-1:real	0m29.621s
logs/depth.did.Reb1.500K.log.err-146:real	0m26.741s
logs/depth.did.Reb1.500K.log.err-147:real	0m30.755s
logs/depth.did.Reb1.500K.log.err-148:real	0m30.211s
logs/depth.did.Reb1.500K.log.err-149:real	0m29.997s
logs/depth.did.Reb1.500K.log.err-15:real	0m27.633s
logs/depth.did.Reb1.500K.log.err-150:real	0m26.075s
logs/depth.did.Reb1.500K.log.err-151:real	0m26.497s
logs/depth.did.Reb1.500K.log.err-152:real	0m31.639s
logs/depth.did.Reb1.500K.log.err-153:real	0m30.233s
logs/depth.did.Reb1.500K.log.err-154:real	0m26.903s
logs/depth.did.Reb1.500K.log.err-155:real	0m26.797s
logs/depth.did.Reb1.500K.log.err-156:real	0m31.372s
logs/depth.did.Reb1.500K.log.err-157:real	0m26.146s
logs/depth.did.Reb1.500K.log.err-158:real	0m26.693s
logs/depth.did.Reb1.500K.log.err-159:real	0m30.087s
logs/depth.did.Reb1.500K.log.err-16:real	0m26.658s
logs/depth.did.Reb1.500K.log.err-160:real	0m26.206s
logs/depth.did.Reb1.500K.log.err-161:real	0m25.959s
logs/depth.did.Reb1.500K.log.err-162:real	0m26.016s
logs/depth.did.Reb1.500K.log.err-163:real	0m30.267s
logs/depth.did.Reb1.500K.log.err-164:real	0m26.917s
logs/depth.did.Reb1.500K.log.err-165:real	0m29.647s
logs/depth.did.Reb1.500K.log.err-166:real	0m29.847s
logs/depth.did.Reb1.500K.log.err-167:real	0m29.782s
logs/depth.did.Reb1.500K.log.err-168:real	0m29.941s
logs/depth.did.Reb1.500K.log.err-169:real	0m30.188s
logs/depth.did.Reb1.500K.log.err-17:real	0m30.231s
logs/depth.did.Reb1.500K.log.err-170:real	0m27.334s
logs/depth.did.Reb1.500K.log.err-171:real	0m31.618s
logs/depth.did.Reb1.500K.log.err-172:real	0m30.030s
logs/depth.did.Reb1.500K.log.err-173:real	0m30.239s
logs/depth.did.Reb1.500K.log.err-174:real	0m26.023s
logs/depth.did.Reb1.500K.log.err-175:real	0m26.076s
logs/depth.did.Reb1.500K.log.err-176:real	0m31.110s
logs/depth.did.Reb1.500K.log.err-177:real	0m29.729s
logs/depth.did.Reb1.500K.log.err-178:real	0m26.976s
logs/depth.did.Reb1.500K.log.err-179:real	0m26.396s
logs/depth.did.Reb1.500K.log.err-18:real	0m25.959s
logs/depth.did.Reb1.500K.log.err-180:real	0m31.626s
logs/depth.did.Reb1.500K.log.err-181:real	0m28.823s
logs/depth.did.Reb1.500K.log.err-182:real	0m26.984s
logs/depth.did.Reb1.500K.log.err-183:real	0m29.657s
logs/depth.did.Reb1.500K.log.err-184:real	0m29.938s
logs/depth.did.Reb1.500K.log.err-185:real	0m30.088s
logs/depth.did.Reb1.500K.log.err-186:real	0m30.083s
logs/depth.did.Reb1.500K.log.err-187:real	0m30.047s
logs/depth.did.Reb1.500K.log.err-188:real	0m26.934s
logs/depth.did.Reb1.500K.log.err-189:real	0m25.873s
logs/depth.did.Reb1.500K.log.err-19:real	0m27.989s
logs/depth.did.Reb1.500K.log.err-190:real	0m30.122s
logs/depth.did.Reb1.500K.log.err-191:real	0m30.351s
logs/depth.did.Reb1.500K.log.err-192:real	0m25.856s
logs/depth.did.Reb1.500K.log.err-193:real	0m25.982s
logs/depth.did.Reb1.500K.log.err-194:real	0m32.054s
logs/depth.did.Reb1.500K.log.err-195:real	0m30.963s
logs/depth.did.Reb1.500K.log.err-196:real	0m27.143s
logs/depth.did.Reb1.500K.log.err-197:real	0m26.384s
logs/depth.did.Reb1.500K.log.err-198:real	0m29.860s
logs/depth.did.Reb1.500K.log.err-199:real	0m26.154s
logs/depth.did.Reb1.500K.log.err-2:real	0m29.972s
logs/depth.did.Reb1.500K.log.err-20:real	0m30.056s
logs/depth.did.Reb1.500K.log.err-200:real	0m26.667s
logs/depth.did.Reb1.500K.log.err-201:real	0m30.131s
logs/depth.did.Reb1.500K.log.err-202:real	0m25.866s
logs/depth.did.Reb1.500K.log.err-203:real	0m25.999s
logs/depth.did.Reb1.500K.log.err-204:real	0m26.138s
logs/depth.did.Reb1.500K.log.err-205:real	0m26.845s
logs/depth.did.Reb1.500K.log.err-206:real	0m29.512s
logs/depth.did.Reb1.500K.log.err-207:real	0m29.884s
logs/depth.did.Reb1.500K.log.err-208:real	0m29.877s
logs/depth.did.Reb1.500K.log.err-209:real	0m30.674s
logs/depth.did.Reb1.500K.log.err-21:real	0m26.385s
logs/depth.did.Reb1.500K.log.err-210:real	0m30.118s
logs/depth.did.Reb1.500K.log.err-211:real	0m26.795s
logs/depth.did.Reb1.500K.log.err-212:real	0m25.875s
logs/depth.did.Reb1.500K.log.err-213:real	0m30.259s
logs/depth.did.Reb1.500K.log.err-214:real	0m30.076s
logs/depth.did.Reb1.500K.log.err-215:real	0m25.951s
logs/depth.did.Reb1.500K.log.err-216:real	0m26.142s
logs/depth.did.Reb1.500K.log.err-217:real	0m30.741s
logs/depth.did.Reb1.500K.log.err-218:real	0m30.503s
logs/depth.did.Reb1.500K.log.err-219:real	0m27.104s
logs/depth.did.Reb1.500K.log.err-22:real	0m25.914s
logs/depth.did.Reb1.500K.log.err-220:real	0m26.623s
logs/depth.did.Reb1.500K.log.err-221:real	0m31.306s
logs/depth.did.Reb1.500K.log.err-222:real	0m26.021s
logs/depth.did.Reb1.500K.log.err-223:real	0m26.993s
logs/depth.did.Reb1.500K.log.err-224:real	0m30.209s
logs/depth.did.Reb1.500K.log.err-225:real	0m26.002s
logs/depth.did.Reb1.500K.log.err-226:real	0m27.532s
logs/depth.did.Reb1.500K.log.err-227:real	0m26.141s
logs/depth.did.Reb1.500K.log.err-228:real	0m25.921s
logs/depth.did.Reb1.500K.log.err-229:real	0m26.961s
logs/depth.did.Reb1.500K.log.err-23:real	0m26.336s
logs/depth.did.Reb1.500K.log.err-230:real	0m29.535s
logs/depth.did.Reb1.500K.log.err-231:real	0m29.934s
logs/depth.did.Reb1.500K.log.err-232:real	0m30.055s
logs/depth.did.Reb1.500K.log.err-233:real	0m29.861s
logs/depth.did.Reb1.500K.log.err-234:real	0m29.895s
logs/depth.did.Reb1.500K.log.err-235:real	0m26.962s
logs/depth.did.Reb1.500K.log.err-236:real	0m25.994s
logs/depth.did.Reb1.500K.log.err-237:real	0m30.130s
logs/depth.did.Reb1.500K.log.err-238:real	0m31.510s
logs/depth.did.Reb1.500K.log.err-239:real	0m25.801s
logs/depth.did.Reb1.500K.log.err-24:real	0m26.402s
logs/depth.did.Reb1.500K.log.err-240:real	0m26.129s
logs/depth.did.Reb1.500K.log.err-241:real	0m31.485s
logs/depth.did.Reb1.500K.log.err-242:real	0m31.055s
logs/depth.did.Reb1.500K.log.err-243:real	0m26.948s
logs/depth.did.Reb1.500K.log.err-244:real	0m26.302s
logs/depth.did.Reb1.500K.log.err-245:real	0m30.163s
logs/depth.did.Reb1.500K.log.err-246:real	0m25.958s
logs/depth.did.Reb1.500K.log.err-247:real	0m26.616s
logs/depth.did.Reb1.500K.log.err-248:real	0m30.011s
logs/depth.did.Reb1.500K.log.err-249:real	0m26.011s
logs/depth.did.Reb1.500K.log.err-25:real	0m26.754s
logs/depth.did.Reb1.500K.log.err-250:real	0m26.075s
logs/depth.did.Reb1.500K.log.err-251:real	0m25.932s
logs/depth.did.Reb1.500K.log.err-252:real	0m25.925s
logs/depth.did.Reb1.500K.log.err-253:real	0m27.034s
logs/depth.did.Reb1.500K.log.err-254:real	0m28.898s
logs/depth.did.Reb1.500K.log.err-255:real	0m29.911s
logs/depth.did.Reb1.500K.log.err-256:real	0m30.111s
logs/depth.did.Reb1.500K.log.err-257:real	0m29.956s
logs/depth.did.Reb1.500K.log.err-258:real	0m30.027s
logs/depth.did.Reb1.500K.log.err-259:real	0m26.793s
logs/depth.did.Reb1.500K.log.err-26:real	0m28.989s
logs/depth.did.Reb1.500K.log.err-260:real	0m26.017s
logs/depth.did.Reb1.500K.log.err-261:real	0m26.758s
logs/depth.did.Reb1.500K.log.err-262:real	0m29.231s
logs/depth.did.Reb1.500K.log.err-263:real	0m29.854s
logs/depth.did.Reb1.500K.log.err-264:real	0m29.561s
logs/depth.did.Reb1.500K.log.err-265:real	0m29.999s
logs/depth.did.Reb1.500K.log.err-266:real	0m30.172s
logs/depth.did.Reb1.500K.log.err-267:real	0m26.719s
logs/depth.did.Reb1.500K.log.err-268:real	0m25.881s
logs/depth.did.Reb1.500K.log.err-269:real	0m30.238s
logs/depth.did.Reb1.500K.log.err-27:real	0m29.969s
logs/depth.did.Reb1.500K.log.err-270:real	0m31.942s
logs/depth.did.Reb1.500K.log.err-271:real	0m26.234s
logs/depth.did.Reb1.500K.log.err-272:real	0m26.303s
logs/depth.did.Reb1.500K.log.err-273:real	0m31.831s
logs/depth.did.Reb1.500K.log.err-274:real	0m29.684s
logs/depth.did.Reb1.500K.log.err-275:real	0m26.966s
logs/depth.did.Reb1.500K.log.err-276:real	0m26.461s
logs/depth.did.Reb1.500K.log.err-277:real	0m30.026s
logs/depth.did.Reb1.500K.log.err-278:real	0m26.077s
logs/depth.did.Reb1.500K.log.err-279:real	0m26.606s
logs/depth.did.Reb1.500K.log.err-28:real	0m29.111s
logs/depth.did.Reb1.500K.log.err-280:real	0m30.095s
logs/depth.did.Reb1.500K.log.err-281:real	0m26.010s
logs/depth.did.Reb1.500K.log.err-282:real	0m26.062s
logs/depth.did.Reb1.500K.log.err-283:real	0m26.044s
logs/depth.did.Reb1.500K.log.err-284:real	0m25.922s
logs/depth.did.Reb1.500K.log.err-285:real	0m26.828s
logs/depth.did.Reb1.500K.log.err-286:real	0m28.703s
logs/depth.did.Reb1.500K.log.err-287:real	0m29.996s
logs/depth.did.Reb1.500K.log.err-288:real	0m29.948s
logs/depth.did.Reb1.500K.log.err-289:real	0m30.126s
logs/depth.did.Reb1.500K.log.err-29:real	0m26.147s
logs/depth.did.Reb1.500K.log.err-290:real	0m30.092s
logs/depth.did.Reb1.500K.log.err-291:real	0m26.952s
logs/depth.did.Reb1.500K.log.err-292:real	0m25.855s
logs/depth.did.Reb1.500K.log.err-293:real	0m30.074s
logs/depth.did.Reb1.500K.log.err-294:real	0m30.367s
logs/depth.did.Reb1.500K.log.err-295:real	0m25.817s
logs/depth.did.Reb1.500K.log.err-296:real	0m26.271s
logs/depth.did.Reb1.500K.log.err-297:real	0m31.437s
logs/depth.did.Reb1.500K.log.err-298:real	0m29.599s
logs/depth.did.Reb1.500K.log.err-299:real	0m26.834s
logs/depth.did.Reb1.500K.log.err-3:real	0m28.586s
logs/depth.did.Reb1.500K.log.err-30:real	0m30.019s
logs/depth.did.Reb1.500K.log.err-300:real	0m26.545s
logs/depth.did.Reb1.500K.log.err-301:real	0m29.987s
logs/depth.did.Reb1.500K.log.err-302:real	0m25.902s
logs/depth.did.Reb1.500K.log.err-303:real	0m26.543s
logs/depth.did.Reb1.500K.log.err-304:real	0m30.112s
logs/depth.did.Reb1.500K.log.err-305:real	0m25.766s
logs/depth.did.Reb1.500K.log.err-306:real	0m26.064s
logs/depth.did.Reb1.500K.log.err-307:real	0m25.996s
logs/depth.did.Reb1.500K.log.err-308:real	0m26.204s
logs/depth.did.Reb1.500K.log.err-309:real	0m26.799s
logs/depth.did.Reb1.500K.log.err-31:real	0m30.135s
logs/depth.did.Reb1.500K.log.err-310:real	0m29.124s
logs/depth.did.Reb1.500K.log.err-311:real	0m30.325s
logs/depth.did.Reb1.500K.log.err-312:real	0m29.959s
logs/depth.did.Reb1.500K.log.err-313:real	0m30.348s
logs/depth.did.Reb1.500K.log.err-314:real	0m30.030s
logs/depth.did.Reb1.500K.log.err-315:real	0m26.757s
logs/depth.did.Reb1.500K.log.err-316:real	0m26.106s
logs/depth.did.Reb1.500K.log.err-317:real	0m30.057s
logs/depth.did.Reb1.500K.log.err-318:real	0m29.980s
logs/depth.did.Reb1.500K.log.err-319:real	0m25.911s
logs/depth.did.Reb1.500K.log.err-32:real	0m26.912s
logs/depth.did.Reb1.500K.log.err-320:real	0m26.080s
logs/depth.did.Reb1.500K.log.err-321:real	0m30.785s
logs/depth.did.Reb1.500K.log.err-322:real	0m29.644s
logs/depth.did.Reb1.500K.log.err-323:real	0m26.572s
logs/depth.did.Reb1.500K.log.err-324:real	0m26.630s
logs/depth.did.Reb1.500K.log.err-325:real	0m31.129s
logs/depth.did.Reb1.500K.log.err-326:real	0m25.896s
logs/depth.did.Reb1.500K.log.err-327:real	0m26.777s
logs/depth.did.Reb1.500K.log.err-328:real	0m29.936s
logs/depth.did.Reb1.500K.log.err-329:real	0m26.050s
logs/depth.did.Reb1.500K.log.err-33:real	0m30.854s
logs/depth.did.Reb1.500K.log.err-330:real	0m25.945s
logs/depth.did.Reb1.500K.log.err-331:real	0m25.971s
logs/depth.did.Reb1.500K.log.err-332:real	0m25.898s
logs/depth.did.Reb1.500K.log.err-333:real	0m26.967s
logs/depth.did.Reb1.500K.log.err-334:real	0m28.900s
logs/depth.did.Reb1.500K.log.err-335:real	0m29.851s
logs/depth.did.Reb1.500K.log.err-336:real	0m29.863s
logs/depth.did.Reb1.500K.log.err-337:real	0m30.012s
logs/depth.did.Reb1.500K.log.err-338:real	0m30.203s
logs/depth.did.Reb1.500K.log.err-339:real	0m26.668s
logs/depth.did.Reb1.500K.log.err-34:real	0m30.076s
logs/depth.did.Reb1.500K.log.err-340:real	0m26.048s
logs/depth.did.Reb1.500K.log.err-341:real	0m29.942s
logs/depth.did.Reb1.500K.log.err-342:real	0m31.191s
logs/depth.did.Reb1.500K.log.err-343:real	0m26.057s
logs/depth.did.Reb1.500K.log.err-344:real	0m26.279s
logs/depth.did.Reb1.500K.log.err-345:real	0m31.719s
logs/depth.did.Reb1.500K.log.err-346:real	0m29.485s
logs/depth.did.Reb1.500K.log.err-347:real	0m26.849s
logs/depth.did.Reb1.500K.log.err-348:real	0m26.511s
logs/depth.did.Reb1.500K.log.err-349:real	0m31.222s
logs/depth.did.Reb1.500K.log.err-35:real	0m30.130s
logs/depth.did.Reb1.500K.log.err-350:real	0m26.094s
logs/depth.did.Reb1.500K.log.err-351:real	0m30.052s
logs/depth.did.Reb1.500K.log.err-352:real	0m30.030s
logs/depth.did.Reb1.500K.log.err-353:real	0m29.953s
logs/depth.did.Reb1.500K.log.err-354:real	0m26.307s
logs/depth.did.Reb1.500K.log.err-355:real	0m31.188s
logs/depth.did.Reb1.500K.log.err-356:real	0m29.990s
logs/depth.did.Reb1.500K.log.err-357:real	0m29.142s
logs/depth.did.Reb1.500K.log.err-358:real	0m30.128s
logs/depth.did.Reb1.500K.log.err-359:real	0m29.993s
logs/depth.did.Reb1.500K.log.err-36:real	0m26.080s
logs/depth.did.Reb1.500K.log.err-360:real	0m30.141s
logs/depth.did.Reb1.500K.log.err-361:real	0m26.914s
logs/depth.did.Reb1.500K.log.err-362:real	0m30.151s
logs/depth.did.Reb1.500K.log.err-363:real	0m30.290s
logs/depth.did.Reb1.500K.log.err-364:real	0m25.985s
logs/depth.did.Reb1.500K.log.err-365:real	0m26.023s
logs/depth.did.Reb1.500K.log.err-366:real	0m31.602s
logs/depth.did.Reb1.500K.log.err-367:real	0m29.496s
logs/depth.did.Reb1.500K.log.err-368:real	0m27.266s
logs/depth.did.Reb1.500K.log.err-369:real	0m26.696s
logs/depth.did.Reb1.500K.log.err-37:real	0m31.007s
logs/depth.did.Reb1.500K.log.err-370:real	0m30.067s
logs/depth.did.Reb1.500K.log.err-371:real	0m26.183s
logs/depth.did.Reb1.500K.log.err-372:real	0m26.874s
logs/depth.did.Reb1.500K.log.err-373:real	0m29.957s
logs/depth.did.Reb1.500K.log.err-374:real	0m25.868s
logs/depth.did.Reb1.500K.log.err-375:real	0m30.248s
logs/depth.did.Reb1.500K.log.err-376:real	0m29.907s
logs/depth.did.Reb1.500K.log.err-377:real	0m30.184s
logs/depth.did.Reb1.500K.log.err-378:real	0m26.365s
logs/depth.did.Reb1.500K.log.err-379:real	0m31.097s
logs/depth.did.Reb1.500K.log.err-38:real	0m31.605s
logs/depth.did.Reb1.500K.log.err-380:real	0m29.985s
logs/depth.did.Reb1.500K.log.err-381:real	0m28.892s
logs/depth.did.Reb1.500K.log.err-382:real	0m29.954s
logs/depth.did.Reb1.500K.log.err-383:real	0m30.122s
logs/depth.did.Reb1.500K.log.err-384:real	0m30.114s
logs/depth.did.Reb1.500K.log.err-385:real	0m27.455s
logs/depth.did.Reb1.500K.log.err-386:real	0m30.069s
logs/depth.did.Reb1.500K.log.err-387:real	0m30.091s
logs/depth.did.Reb1.500K.log.err-388:real	0m26.021s
logs/depth.did.Reb1.500K.log.err-389:real	0m26.140s
logs/depth.did.Reb1.500K.log.err-39:real	0m29.607s
logs/depth.did.Reb1.500K.log.err-390:real	0m31.798s
logs/depth.did.Reb1.500K.log.err-391:real	0m29.719s
logs/depth.did.Reb1.500K.log.err-392:real	0m26.714s
logs/depth.did.Reb1.500K.log.err-393:real	0m26.416s
logs/depth.did.Reb1.500K.log.err-394:real	0m31.486s
logs/depth.did.Reb1.500K.log.err-395:real	0m26.162s
logs/depth.did.Reb1.500K.log.err-396:real	0m26.707s
logs/depth.did.Reb1.500K.log.err-397:real	0m30.760s
logs/depth.did.Reb1.500K.log.err-398:real	0m26.461s
logs/depth.did.Reb1.500K.log.err-399:real	0m29.870s
logs/depth.did.Reb1.500K.log.err-4:real	0m26.079s
logs/depth.did.Reb1.500K.log.err-40:real	0m27.045s
logs/depth.did.Reb1.500K.log.err-400:real	0m30.033s
logs/depth.did.Reb1.500K.log.err-401:real	0m29.890s
logs/depth.did.Reb1.500K.log.err-402:real	0m27.027s
logs/depth.did.Reb1.500K.log.err-403:real	0m31.049s
logs/depth.did.Reb1.500K.log.err-404:real	0m30.226s
logs/depth.did.Reb1.500K.log.err-405:real	0m29.869s
logs/depth.did.Reb1.500K.log.err-406:real	0m29.733s
logs/depth.did.Reb1.500K.log.err-407:real	0m29.994s
logs/depth.did.Reb1.500K.log.err-408:real	0m30.100s
logs/depth.did.Reb1.500K.log.err-409:real	0m26.955s
logs/depth.did.Reb1.500K.log.err-41:real	0m26.643s
logs/depth.did.Reb1.500K.log.err-410:real	0m30.053s
logs/depth.did.Reb1.500K.log.err-411:real	0m30.493s
logs/depth.did.Reb1.500K.log.err-412:real	0m26.024s
logs/depth.did.Reb1.500K.log.err-413:real	0m26.043s
logs/depth.did.Reb1.500K.log.err-414:real	0m31.349s
logs/depth.did.Reb1.500K.log.err-415:real	0m29.414s
logs/depth.did.Reb1.500K.log.err-416:real	0m26.868s
logs/depth.did.Reb1.500K.log.err-417:real	0m26.563s
logs/depth.did.Reb1.500K.log.err-418:real	0m29.965s
logs/depth.did.Reb1.500K.log.err-419:real	0m26.013s
logs/depth.did.Reb1.500K.log.err-42:real	0m32.387s
logs/depth.did.Reb1.500K.log.err-420:real	0m26.850s
logs/depth.did.Reb1.500K.log.err-421:real	0m30.126s
logs/depth.did.Reb1.500K.log.err-422:real	0m25.997s
logs/depth.did.Reb1.500K.log.err-423:real	0m30.056s
logs/depth.did.Reb1.500K.log.err-424:real	0m30.069s
logs/depth.did.Reb1.500K.log.err-425:real	0m30.028s
logs/depth.did.Reb1.500K.log.err-426:real	0m26.844s
logs/depth.did.Reb1.500K.log.err-427:real	0m31.065s
logs/depth.did.Reb1.500K.log.err-428:real	0m30.116s
logs/depth.did.Reb1.500K.log.err-429:real	0m29.467s
logs/depth.did.Reb1.500K.log.err-43:real	0m26.167s
logs/depth.did.Reb1.500K.log.err-430:real	0m29.995s
logs/depth.did.Reb1.500K.log.err-431:real	0m30.031s
logs/depth.did.Reb1.500K.log.err-432:real	0m30.114s
logs/depth.did.Reb1.500K.log.err-433:real	0m26.907s
logs/depth.did.Reb1.500K.log.err-434:real	0m30.053s
logs/depth.did.Reb1.500K.log.err-435:real	0m31.455s
logs/depth.did.Reb1.500K.log.err-436:real	0m25.962s
logs/depth.did.Reb1.500K.log.err-437:real	0m26.041s
logs/depth.did.Reb1.500K.log.err-438:real	0m31.430s
logs/depth.did.Reb1.500K.log.err-439:real	0m29.730s
logs/depth.did.Reb1.500K.log.err-44:real	0m30.073s
logs/depth.did.Reb1.500K.log.err-440:real	0m26.993s
logs/depth.did.Reb1.500K.log.err-441:real	0m29.367s
logs/depth.did.Reb1.500K.log.err-442:real	0m30.833s
logs/depth.did.Reb1.500K.log.err-443:real	0m29.524s
logs/depth.did.Reb1.500K.log.err-444:real	0m30.413s
logs/depth.did.Reb1.500K.log.err-445:real	0m30.201s
logs/depth.did.Reb1.500K.log.err-446:real	0m25.950s
logs/depth.did.Reb1.500K.log.err-447:real	0m31.528s
logs/depth.did.Reb1.500K.log.err-448:real	0m29.803s
logs/depth.did.Reb1.500K.log.err-449:real	0m30.307s
logs/depth.did.Reb1.500K.log.err-45:real	0m30.019s
logs/depth.did.Reb1.500K.log.err-450:real	0m30.029s
logs/depth.did.Reb1.500K.log.err-451:real	0m26.854s
logs/depth.did.Reb1.500K.log.err-452:real	0m29.873s
logs/depth.did.Reb1.500K.log.err-453:real	0m31.635s
logs/depth.did.Reb1.500K.log.err-454:real	0m26.940s
logs/depth.did.Reb1.500K.log.err-455:real	0m30.143s
logs/depth.did.Reb1.500K.log.err-456:real	0m26.457s
logs/depth.did.Reb1.500K.log.err-457:real	0m26.157s
logs/depth.did.Reb1.500K.log.err-458:real	0m30.724s
logs/depth.did.Reb1.500K.log.err-459:real	0m26.564s
logs/depth.did.Reb1.500K.log.err-46:real	0m26.432s
logs/depth.did.Reb1.500K.log.err-460:real	0m26.768s
logs/depth.did.Reb1.500K.log.err-461:real	0m26.055s
logs/depth.did.Reb1.500K.log.err-462:real	0m27.154s
logs/depth.did.Reb1.500K.log.err-463:real	0m25.978s
logs/depth.did.Reb1.500K.log.err-464:real	0m26.734s
logs/depth.did.Reb1.500K.log.err-465:real	0m28.599s
logs/depth.did.Reb1.500K.log.err-466:real	0m30.887s
logs/depth.did.Reb1.500K.log.err-467:real	0m29.253s
logs/depth.did.Reb1.500K.log.err-468:real	0m30.198s
logs/depth.did.Reb1.500K.log.err-469:real	0m30.384s
logs/depth.did.Reb1.500K.log.err-47:real	0m25.979s
logs/depth.did.Reb1.500K.log.err-470:real	0m26.029s
logs/depth.did.Reb1.500K.log.err-471:real	0m31.454s
logs/depth.did.Reb1.500K.log.err-472:real	0m29.721s
logs/depth.did.Reb1.500K.log.err-473:real	0m30.065s
logs/depth.did.Reb1.500K.log.err-474:real	0m30.012s
logs/depth.did.Reb1.500K.log.err-475:real	0m26.805s
logs/depth.did.Reb1.500K.log.err-476:real	0m30.168s
logs/depth.did.Reb1.500K.log.err-477:real	0m31.092s
logs/depth.did.Reb1.500K.log.err-478:real	0m26.671s
logs/depth.did.Reb1.500K.log.err-479:real	0m30.092s
logs/depth.did.Reb1.500K.log.err-48:real	0m26.051s
logs/depth.did.Reb1.500K.log.err-480:real	0m26.072s
logs/depth.did.Reb1.500K.log.err-481:real	0m26.118s
logs/depth.did.Reb1.500K.log.err-482:real	0m30.617s
logs/depth.did.Reb1.500K.log.err-483:real	0m26.164s
logs/depth.did.Reb1.500K.log.err-484:real	0m26.789s
logs/depth.did.Reb1.500K.log.err-485:real	0m26.113s
logs/depth.did.Reb1.500K.log.err-486:real	0m26.433s
logs/depth.did.Reb1.500K.log.err-487:real	0m26.659s
logs/depth.did.Reb1.500K.log.err-488:real	0m26.842s
logs/depth.did.Reb1.500K.log.err-489:real	0m28.499s
logs/depth.did.Reb1.500K.log.err-49:real	0m29.457s
logs/depth.did.Reb1.500K.log.err-490:real	0m30.629s
logs/depth.did.Reb1.500K.log.err-491:real	0m29.112s
logs/depth.did.Reb1.500K.log.err-492:real	0m30.040s
logs/depth.did.Reb1.500K.log.err-493:real	0m31.215s
logs/depth.did.Reb1.500K.log.err-494:real	0m25.978s
logs/depth.did.Reb1.500K.log.err-495:real	0m31.328s
logs/depth.did.Reb1.500K.log.err-496:real	0m29.504s
logs/depth.did.Reb1.500K.log.err-497:real	0m31.487s
logs/depth.did.Reb1.500K.log.err-498:real	0m26.346s
logs/depth.did.Reb1.500K.log.err-499:real	0m30.313s
logs/depth.did.Reb1.500K.log.err-5:real	0m29.910s
logs/depth.did.Reb1.500K.log.err-50:real	0m29.949s
logs/depth.did.Reb1.500K.log.err-500:real	0m26.835s
logs/depth.did.Reb1.500K.log.err-501:real	0m30.169s
logs/depth.did.Reb1.500K.log.err-502:real	0m26.057s
