logs/depth.did.Rap1.4M.log.err-1:real	0m43.912s
logs/depth.did.Rap1.4M.log.err-155:real	0m44.916s
logs/depth.did.Rap1.4M.log.err-156:real	0m41.849s
logs/depth.did.Rap1.4M.log.err-157:real	0m42.190s
logs/depth.did.Rap1.4M.log.err-158:real	0m38.835s
logs/depth.did.Rap1.4M.log.err-159:real	0m39.391s
logs/depth.did.Rap1.4M.log.err-16:real	0m44.467s
logs/depth.did.Rap1.4M.log.err-160:real	1m39.054s
logs/depth.did.Rap1.4M.log.err-161:real	1m46.246s
logs/depth.did.Rap1.4M.log.err-162:real	0m44.552s
logs/depth.did.Rap1.4M.log.err-163:real	0m38.639s
logs/depth.did.Rap1.4M.log.err-164:real	0m39.367s
logs/depth.did.Rap1.4M.log.err-165:real	0m41.309s
logs/depth.did.Rap1.4M.log.err-166:real	0m41.502s
logs/depth.did.Rap1.4M.log.err-167:real	0m41.701s
logs/depth.did.Rap1.4M.log.err-168:real	0m41.872s
logs/depth.did.Rap1.4M.log.err-169:real	0m41.794s
logs/depth.did.Rap1.4M.log.err-17:real	0m39.378s
logs/depth.did.Rap1.4M.log.err-170:real	0m41.590s
logs/depth.did.Rap1.4M.log.err-171:real	0m46.579s
logs/depth.did.Rap1.4M.log.err-172:real	0m39.791s
logs/depth.did.Rap1.4M.log.err-173:real	1m41.089s
logs/depth.did.Rap1.4M.log.err-174:real	1m47.902s
logs/depth.did.Rap1.4M.log.err-175:real	0m44.777s
logs/depth.did.Rap1.4M.log.err-176:real	0m39.435s
logs/depth.did.Rap1.4M.log.err-177:real	0m39.884s
logs/depth.did.Rap1.4M.log.err-178:real	0m42.808s
logs/depth.did.Rap1.4M.log.err-179:real	0m41.727s
logs/depth.did.Rap1.4M.log.err-18:real	0m39.280s
logs/depth.did.Rap1.4M.log.err-180:real	0m45.279s
logs/depth.did.Rap1.4M.log.err-181:real	0m41.712s
logs/depth.did.Rap1.4M.log.err-182:real	0m41.779s
logs/depth.did.Rap1.4M.log.err-183:real	0m42.135s
logs/depth.did.Rap1.4M.log.err-184:real	0m41.621s
logs/depth.did.Rap1.4M.log.err-185:real	0m44.868s
logs/depth.did.Rap1.4M.log.err-186:real	0m45.091s
logs/depth.did.Rap1.4M.log.err-187:real	0m39.178s
logs/depth.did.Rap1.4M.log.err-188:real	0m39.324s
logs/depth.did.Rap1.4M.log.err-189:real	0m39.104s
logs/depth.did.Rap1.4M.log.err-19:real	0m41.361s
logs/depth.did.Rap1.4M.log.err-190:real	0m38.815s
logs/depth.did.Rap1.4M.log.err-191:real	0m38.968s
logs/depth.did.Rap1.4M.log.err-192:real	0m38.714s
logs/depth.did.Rap1.4M.log.err-193:real	0m39.403s
logs/depth.did.Rap1.4M.log.err-194:real	0m39.192s
logs/depth.did.Rap1.4M.log.err-195:real	0m46.234s
logs/depth.did.Rap1.4M.log.err-196:real	0m40.036s
logs/depth.did.Rap1.4M.log.err-197:real	0m45.333s
logs/depth.did.Rap1.4M.log.err-198:real	0m39.407s
logs/depth.did.Rap1.4M.log.err-199:real	0m40.669s
logs/depth.did.Rap1.4M.log.err-2:real	0m44.906s
logs/depth.did.Rap1.4M.log.err-20:real	0m40.120s
logs/depth.did.Rap1.4M.log.err-200:real	0m41.676s
logs/depth.did.Rap1.4M.log.err-201:real	0m42.138s
logs/depth.did.Rap1.4M.log.err-202:real	0m41.874s
logs/depth.did.Rap1.4M.log.err-203:real	0m44.872s
logs/depth.did.Rap1.4M.log.err-204:real	0m41.968s
logs/depth.did.Rap1.4M.log.err-205:real	0m41.966s
logs/depth.did.Rap1.4M.log.err-206:real	0m41.866s
logs/depth.did.Rap1.4M.log.err-207:real	0m44.795s
logs/depth.did.Rap1.4M.log.err-208:real	0m45.301s
logs/depth.did.Rap1.4M.log.err-209:real	0m38.870s
logs/depth.did.Rap1.4M.log.err-21:real	0m44.845s
logs/depth.did.Rap1.4M.log.err-210:real	0m39.783s
logs/depth.did.Rap1.4M.log.err-211:real	0m39.012s
logs/depth.did.Rap1.4M.log.err-212:real	0m39.419s
logs/depth.did.Rap1.4M.log.err-213:real	0m38.696s
logs/depth.did.Rap1.4M.log.err-214:real	0m39.446s
logs/depth.did.Rap1.4M.log.err-215:real	0m38.816s
logs/depth.did.Rap1.4M.log.err-216:real	0m39.428s
logs/depth.did.Rap1.4M.log.err-217:real	0m45.993s
logs/depth.did.Rap1.4M.log.err-218:real	0m40.789s
logs/depth.did.Rap1.4M.log.err-219:real	1m39.440s
logs/depth.did.Rap1.4M.log.err-22:real	0m43.346s
logs/depth.did.Rap1.4M.log.err-220:real	1m44.664s
logs/depth.did.Rap1.4M.log.err-221:real	0m45.193s
logs/depth.did.Rap1.4M.log.err-222:real	0m38.573s
logs/depth.did.Rap1.4M.log.err-223:real	0m41.007s
logs/depth.did.Rap1.4M.log.err-224:real	0m41.450s
logs/depth.did.Rap1.4M.log.err-225:real	0m41.850s
logs/depth.did.Rap1.4M.log.err-226:real	0m44.788s
logs/depth.did.Rap1.4M.log.err-227:real	0m41.718s
logs/depth.did.Rap1.4M.log.err-228:real	0m41.528s
logs/depth.did.Rap1.4M.log.err-229:real	0m41.712s
logs/depth.did.Rap1.4M.log.err-23:real	0m38.537s
logs/depth.did.Rap1.4M.log.err-230:real	0m41.751s
logs/depth.did.Rap1.4M.log.err-231:real	0m38.828s
logs/depth.did.Rap1.4M.log.err-232:real	0m45.744s
logs/depth.did.Rap1.4M.log.err-233:real	0m39.527s
logs/depth.did.Rap1.4M.log.err-234:real	0m39.419s
logs/depth.did.Rap1.4M.log.err-235:real	0m41.118s
logs/depth.did.Rap1.4M.log.err-236:real	0m44.810s
logs/depth.did.Rap1.4M.log.err-237:real	0m44.947s
logs/depth.did.Rap1.4M.log.err-238:real	0m38.961s
logs/depth.did.Rap1.4M.log.err-239:real	0m38.904s
logs/depth.did.Rap1.4M.log.err-24:real	0m41.341s
logs/depth.did.Rap1.4M.log.err-240:real	0m38.593s
logs/depth.did.Rap1.4M.log.err-241:real	0m39.297s
logs/depth.did.Rap1.4M.log.err-242:real	0m39.166s
logs/depth.did.Rap1.4M.log.err-243:real	0m38.805s
logs/depth.did.Rap1.4M.log.err-244:real	0m39.306s
logs/depth.did.Rap1.4M.log.err-245:real	0m39.989s
logs/depth.did.Rap1.4M.log.err-246:real	0m45.631s
logs/depth.did.Rap1.4M.log.err-247:real	0m38.637s
logs/depth.did.Rap1.4M.log.err-248:real	0m40.352s
logs/depth.did.Rap1.4M.log.err-249:real	0m41.551s
logs/depth.did.Rap1.4M.log.err-25:real	0m46.197s
logs/depth.did.Rap1.4M.log.err-250:real	0m41.483s
logs/depth.did.Rap1.4M.log.err-251:real	0m45.338s
logs/depth.did.Rap1.4M.log.err-252:real	0m44.924s
logs/depth.did.Rap1.4M.log.err-253:real	0m40.995s
logs/depth.did.Rap1.4M.log.err-254:real	0m38.809s
logs/depth.did.Rap1.4M.log.err-255:real	0m44.447s
logs/depth.did.Rap1.4M.log.err-256:real	0m39.500s
logs/depth.did.Rap1.4M.log.err-257:real	0m39.381s
logs/depth.did.Rap1.4M.log.err-258:real	0m45.562s
logs/depth.did.Rap1.4M.log.err-259:real	0m38.746s
logs/depth.did.Rap1.4M.log.err-26:real	0m39.441s
logs/depth.did.Rap1.4M.log.err-260:real	0m45.843s
logs/depth.did.Rap1.4M.log.err-261:real	0m44.990s
logs/depth.did.Rap1.4M.log.err-262:real	0m39.560s
logs/depth.did.Rap1.4M.log.err-263:real	0m39.487s
logs/depth.did.Rap1.4M.log.err-264:real	0m38.966s
logs/depth.did.Rap1.4M.log.err-265:real	0m40.136s
logs/depth.did.Rap1.4M.log.err-266:real	0m39.444s
logs/depth.did.Rap1.4M.log.err-267:real	0m45.068s
logs/depth.did.Rap1.4M.log.err-268:real	0m44.955s
logs/depth.did.Rap1.4M.log.err-269:real	0m40.601s
logs/depth.did.Rap1.4M.log.err-27:real	0m39.921s
logs/depth.did.Rap1.4M.log.err-270:real	0m39.796s
logs/depth.did.Rap1.4M.log.err-271:real	0m44.721s
logs/depth.did.Rap1.4M.log.err-272:real	0m38.567s
logs/depth.did.Rap1.4M.log.err-273:real	0m39.082s
logs/depth.did.Rap1.4M.log.err-274:real	0m44.961s
logs/depth.did.Rap1.4M.log.err-275:real	0m39.911s
logs/depth.did.Rap1.4M.log.err-276:real	0m44.732s
logs/depth.did.Rap1.4M.log.err-277:real	0m45.176s
logs/depth.did.Rap1.4M.log.err-278:real	0m38.870s
logs/depth.did.Rap1.4M.log.err-279:real	0m40.268s
logs/depth.did.Rap1.4M.log.err-28:real	0m39.356s
logs/depth.did.Rap1.4M.log.err-280:real	0m40.701s
logs/depth.did.Rap1.4M.log.err-281:real	0m39.562s
logs/depth.did.Rap1.4M.log.err-282:real	0m40.082s
logs/depth.did.Rap1.4M.log.err-283:real	0m39.403s
logs/depth.did.Rap1.4M.log.err-284:real	0m39.201s
logs/depth.did.Rap1.4M.log.err-285:real	0m39.475s
logs/depth.did.Rap1.4M.log.err-286:real	0m39.728s
logs/depth.did.Rap1.4M.log.err-287:real	0m45.217s
logs/depth.did.Rap1.4M.log.err-288:real	0m48.243s
logs/depth.did.Rap1.4M.log.err-289:real	0m44.967s
logs/depth.did.Rap1.4M.log.err-29:real	0m45.062s
logs/depth.did.Rap1.4M.log.err-290:real	0m45.018s
logs/depth.did.Rap1.4M.log.err-291:real	0m40.754s
logs/depth.did.Rap1.4M.log.err-292:real	0m39.289s
logs/depth.did.Rap1.4M.log.err-293:real	0m44.418s
logs/depth.did.Rap1.4M.log.err-294:real	0m39.531s
logs/depth.did.Rap1.4M.log.err-295:real	0m38.797s
logs/depth.did.Rap1.4M.log.err-296:real	0m39.104s
logs/depth.did.Rap1.4M.log.err-297:real	0m44.642s
logs/depth.did.Rap1.4M.log.err-298:real	0m39.147s
logs/depth.did.Rap1.4M.log.err-299:real	0m44.820s
logs/depth.did.Rap1.4M.log.err-3:real	0m43.333s
logs/depth.did.Rap1.4M.log.err-30:real	0m38.873s
logs/depth.did.Rap1.4M.log.err-300:real	0m45.061s
logs/depth.did.Rap1.4M.log.err-301:real	0m39.571s
logs/depth.did.Rap1.4M.log.err-302:real	0m39.544s
logs/depth.did.Rap1.4M.log.err-303:real	0m39.077s
logs/depth.did.Rap1.4M.log.err-304:real	0m39.518s
logs/depth.did.Rap1.4M.log.err-305:real	0m39.623s
logs/depth.did.Rap1.4M.log.err-306:real	0m39.785s
logs/depth.did.Rap1.4M.log.err-307:real	0m39.853s
logs/depth.did.Rap1.4M.log.err-308:real	0m39.576s
logs/depth.did.Rap1.4M.log.err-309:real	0m39.934s
logs/depth.did.Rap1.4M.log.err-31:real	0m38.946s
logs/depth.did.Rap1.4M.log.err-310:real	0m39.641s
logs/depth.did.Rap1.4M.log.err-311:real	0m46.627s
logs/depth.did.Rap1.4M.log.err-312:real	0m44.955s
logs/depth.did.Rap1.4M.log.err-313:real	0m45.028s
logs/depth.did.Rap1.4M.log.err-314:real	0m41.164s
logs/depth.did.Rap1.4M.log.err-315:real	0m38.838s
logs/depth.did.Rap1.4M.log.err-316:real	0m45.275s
logs/depth.did.Rap1.4M.log.err-317:real	0m38.630s
logs/depth.did.Rap1.4M.log.err-318:real	0m39.229s
logs/depth.did.Rap1.4M.log.err-319:real	0m39.471s
logs/depth.did.Rap1.4M.log.err-32:real	0m38.694s
logs/depth.did.Rap1.4M.log.err-320:real	0m46.687s
logs/depth.did.Rap1.4M.log.err-321:real	0m39.006s
logs/depth.did.Rap1.4M.log.err-322:real	0m45.151s
logs/depth.did.Rap1.4M.log.err-323:real	0m44.758s
logs/depth.did.Rap1.4M.log.err-324:real	0m38.979s
logs/depth.did.Rap1.4M.log.err-325:real	0m39.574s
logs/depth.did.Rap1.4M.log.err-326:real	0m38.739s
logs/depth.did.Rap1.4M.log.err-327:real	0m39.132s
logs/depth.did.Rap1.4M.log.err-328:real	0m39.733s
logs/depth.did.Rap1.4M.log.err-329:real	0m39.689s
logs/depth.did.Rap1.4M.log.err-33:real	0m38.644s
logs/depth.did.Rap1.4M.log.err-330:real	0m44.734s
logs/depth.did.Rap1.4M.log.err-331:real	0m46.727s
logs/depth.did.Rap1.4M.log.err-332:real	0m44.612s
logs/depth.did.Rap1.4M.log.err-333:real	0m44.889s
logs/depth.did.Rap1.4M.log.err-334:real	0m40.684s
logs/depth.did.Rap1.4M.log.err-335:real	0m38.853s
logs/depth.did.Rap1.4M.log.err-336:real	0m44.340s
logs/depth.did.Rap1.4M.log.err-337:real	0m45.767s
logs/depth.did.Rap1.4M.log.err-338:real	0m38.636s
logs/depth.did.Rap1.4M.log.err-339:real	0m39.350s
logs/depth.did.Rap1.4M.log.err-34:real	0m41.604s
logs/depth.did.Rap1.4M.log.err-340:real	0m39.214s
logs/depth.did.Rap1.4M.log.err-341:real	0m45.066s
logs/depth.did.Rap1.4M.log.err-342:real	0m40.396s
logs/depth.did.Rap1.4M.log.err-343:real	0m39.368s
logs/depth.did.Rap1.4M.log.err-344:real	0m44.821s
logs/depth.did.Rap1.4M.log.err-345:real	0m45.641s
logs/depth.did.Rap1.4M.log.err-346:real	0m39.926s
logs/depth.did.Rap1.4M.log.err-347:real	0m39.302s
logs/depth.did.Rap1.4M.log.err-348:real	0m44.968s
logs/depth.did.Rap1.4M.log.err-349:real	0m38.852s
logs/depth.did.Rap1.4M.log.err-35:real	0m46.076s
logs/depth.did.Rap1.4M.log.err-350:real	0m44.765s
logs/depth.did.Rap1.4M.log.err-351:real	0m45.059s
logs/depth.did.Rap1.4M.log.err-352:real	0m38.660s
logs/depth.did.Rap1.4M.log.err-353:real	0m39.726s
logs/depth.did.Rap1.4M.log.err-354:real	0m39.123s
logs/depth.did.Rap1.4M.log.err-355:real	0m39.354s
logs/depth.did.Rap1.4M.log.err-356:real	0m39.265s
logs/depth.did.Rap1.4M.log.err-357:real	0m39.172s
logs/depth.did.Rap1.4M.log.err-358:real	0m39.192s
logs/depth.did.Rap1.4M.log.err-359:real	0m39.337s
logs/depth.did.Rap1.4M.log.err-36:real	0m46.130s
logs/depth.did.Rap1.4M.log.err-360:real	0m39.460s
logs/depth.did.Rap1.4M.log.err-361:real	0m39.219s
logs/depth.did.Rap1.4M.log.err-362:real	0m39.405s
logs/depth.did.Rap1.4M.log.err-363:real	0m39.273s
logs/depth.did.Rap1.4M.log.err-364:real	0m44.918s
logs/depth.did.Rap1.4M.log.err-365:real	0m44.946s
logs/depth.did.Rap1.4M.log.err-366:real	0m40.454s
logs/depth.did.Rap1.4M.log.err-367:real	0m39.575s
logs/depth.did.Rap1.4M.log.err-368:real	0m43.849s
logs/depth.did.Rap1.4M.log.err-369:real	0m46.580s
logs/depth.did.Rap1.4M.log.err-37:real	0m44.164s
logs/depth.did.Rap1.4M.log.err-370:real	0m38.647s
logs/depth.did.Rap1.4M.log.err-371:real	0m40.518s
logs/depth.did.Rap1.4M.log.err-372:real	0m45.102s
logs/depth.did.Rap1.4M.log.err-373:real	0m39.847s
logs/depth.did.Rap1.4M.log.err-374:real	0m45.850s
logs/depth.did.Rap1.4M.log.err-375:real	0m44.969s
logs/depth.did.Rap1.4M.log.err-376:real	0m39.421s
logs/depth.did.Rap1.4M.log.err-377:real	0m39.886s
logs/depth.did.Rap1.4M.log.err-378:real	0m39.168s
logs/depth.did.Rap1.4M.log.err-379:real	0m39.218s
logs/depth.did.Rap1.4M.log.err-38:real	0m43.374s
logs/depth.did.Rap1.4M.log.err-380:real	0m39.319s
logs/depth.did.Rap1.4M.log.err-381:real	0m39.761s
logs/depth.did.Rap1.4M.log.err-382:real	0m39.345s
logs/depth.did.Rap1.4M.log.err-383:real	0m39.286s
logs/depth.did.Rap1.4M.log.err-384:real	0m44.611s
logs/depth.did.Rap1.4M.log.err-385:real	0m45.045s
logs/depth.did.Rap1.4M.log.err-386:real	0m39.889s
logs/depth.did.Rap1.4M.log.err-387:real	0m39.100s
logs/depth.did.Rap1.4M.log.err-388:real	0m44.767s
logs/depth.did.Rap1.4M.log.err-389:real	0m39.130s
logs/depth.did.Rap1.4M.log.err-39:real	0m39.361s
logs/depth.did.Rap1.4M.log.err-390:real	0m39.338s
logs/depth.did.Rap1.4M.log.err-391:real	0m38.834s
logs/depth.did.Rap1.4M.log.err-392:real	0m38.859s
logs/depth.did.Rap1.4M.log.err-393:real	0m39.182s
logs/depth.did.Rap1.4M.log.err-394:real	0m39.291s
logs/depth.did.Rap1.4M.log.err-395:real	0m40.073s
logs/depth.did.Rap1.4M.log.err-396:real	0m39.794s
logs/depth.did.Rap1.4M.log.err-397:real	0m38.760s
logs/depth.did.Rap1.4M.log.err-398:real	0m44.642s
logs/depth.did.Rap1.4M.log.err-399:real	0m39.244s
logs/depth.did.Rap1.4M.log.err-4:real	0m44.483s
logs/depth.did.Rap1.4M.log.err-40:real	0m41.267s
logs/depth.did.Rap1.4M.log.err-400:real	0m44.945s
logs/depth.did.Rap1.4M.log.err-401:real	0m41.190s
logs/depth.did.Rap1.4M.log.err-402:real	0m39.428s
logs/depth.did.Rap1.4M.log.err-403:real	0m38.673s
logs/depth.did.Rap1.4M.log.err-404:real	0m43.905s
logs/depth.did.Rap1.4M.log.err-405:real	0m45.656s
logs/depth.did.Rap1.4M.log.err-406:real	0m38.754s
logs/depth.did.Rap1.4M.log.err-407:real	0m39.703s
logs/depth.did.Rap1.4M.log.err-408:real	0m44.834s
logs/depth.did.Rap1.4M.log.err-409:real	0m39.437s
logs/depth.did.Rap1.4M.log.err-41:real	0m40.479s
logs/depth.did.Rap1.4M.log.err-410:real	0m45.064s
logs/depth.did.Rap1.4M.log.err-411:real	0m45.203s
logs/depth.did.Rap1.4M.log.err-412:real	0m39.052s
logs/depth.did.Rap1.4M.log.err-413:real	0m39.872s
logs/depth.did.Rap1.4M.log.err-414:real	0m39.028s
logs/depth.did.Rap1.4M.log.err-415:real	0m38.915s
logs/depth.did.Rap1.4M.log.err-416:real	0m39.413s
logs/depth.did.Rap1.4M.log.err-417:real	0m39.711s
logs/depth.did.Rap1.4M.log.err-418:real	0m39.782s
logs/depth.did.Rap1.4M.log.err-419:real	0m40.307s
logs/depth.did.Rap1.4M.log.err-42:real	0m44.819s
logs/depth.did.Rap1.4M.log.err-420:real	0m38.765s
logs/depth.did.Rap1.4M.log.err-421:real	0m38.964s
logs/depth.did.Rap1.4M.log.err-422:real	0m39.122s
logs/depth.did.Rap1.4M.log.err-423:real	0m44.963s
logs/depth.did.Rap1.4M.log.err-424:real	0m40.544s
logs/depth.did.Rap1.4M.log.err-425:real	0m39.061s
logs/depth.did.Rap1.4M.log.err-426:real	0m39.085s
logs/depth.did.Rap1.4M.log.err-427:real	0m44.421s
logs/depth.did.Rap1.4M.log.err-428:real	0m45.648s
logs/depth.did.Rap1.4M.log.err-429:real	0m39.063s
logs/depth.did.Rap1.4M.log.err-43:real	0m43.572s
logs/depth.did.Rap1.4M.log.err-430:real	0m40.440s
logs/depth.did.Rap1.4M.log.err-431:real	0m44.788s
logs/depth.did.Rap1.4M.log.err-432:real	0m39.054s
logs/depth.did.Rap1.4M.log.err-433:real	0m45.156s
logs/depth.did.Rap1.4M.log.err-434:real	0m46.019s
logs/depth.did.Rap1.4M.log.err-435:real	0m40.026s
logs/depth.did.Rap1.4M.log.err-436:real	0m39.296s
logs/depth.did.Rap1.4M.log.err-437:real	0m38.955s
logs/depth.did.Rap1.4M.log.err-438:real	0m39.623s
logs/depth.did.Rap1.4M.log.err-439:real	0m39.342s
logs/depth.did.Rap1.4M.log.err-44:real	0m38.596s
logs/depth.did.Rap1.4M.log.err-440:real	0m39.597s
logs/depth.did.Rap1.4M.log.err-441:real	0m39.477s
logs/depth.did.Rap1.4M.log.err-442:real	0m40.253s
logs/depth.did.Rap1.4M.log.err-443:real	0m39.566s
logs/depth.did.Rap1.4M.log.err-444:real	0m39.549s
logs/depth.did.Rap1.4M.log.err-445:real	0m38.558s
logs/depth.did.Rap1.4M.log.err-446:real	0m38.783s
logs/depth.did.Rap1.4M.log.err-447:real	0m44.704s
logs/depth.did.Rap1.4M.log.err-448:real	0m40.802s
logs/depth.did.Rap1.4M.log.err-449:real	0m39.289s
logs/depth.did.Rap1.4M.log.err-45:real	0m41.387s
logs/depth.did.Rap1.4M.log.err-450:real	0m38.710s
logs/depth.did.Rap1.4M.log.err-451:real	0m44.169s
logs/depth.did.Rap1.4M.log.err-452:real	0m45.897s
logs/depth.did.Rap1.4M.log.err-453:real	0m38.888s
logs/depth.did.Rap1.4M.log.err-454:real	0m39.746s
logs/depth.did.Rap1.4M.log.err-455:real	0m45.030s
logs/depth.did.Rap1.4M.log.err-456:real	0m39.154s
logs/depth.did.Rap1.4M.log.err-457:real	0m44.661s
logs/depth.did.Rap1.4M.log.err-458:real	0m44.956s
logs/depth.did.Rap1.4M.log.err-459:real	0m38.897s
logs/depth.did.Rap1.4M.log.err-46:real	0m44.387s
logs/depth.did.Rap1.4M.log.err-460:real	0m39.533s
logs/depth.did.Rap1.4M.log.err-461:real	0m39.016s
logs/depth.did.Rap1.4M.log.err-462:real	0m39.318s
logs/depth.did.Rap1.4M.log.err-463:real	0m39.986s
logs/depth.did.Rap1.4M.log.err-464:real	0m39.470s
logs/depth.did.Rap1.4M.log.err-465:real	0m39.002s
logs/depth.did.Rap1.4M.log.err-466:real	0m39.269s
logs/depth.did.Rap1.4M.log.err-467:real	0m39.031s
logs/depth.did.Rap1.4M.log.err-468:real	0m39.572s
logs/depth.did.Rap1.4M.log.err-469:real	0m38.903s
logs/depth.did.Rap1.4M.log.err-47:real	0m38.870s
logs/depth.did.Rap1.4M.log.err-470:real	0m38.381s
logs/depth.did.Rap1.4M.log.err-471:real	0m45.510s
logs/depth.did.Rap1.4M.log.err-472:real	0m40.552s
logs/depth.did.Rap1.4M.log.err-473:real	0m39.177s
logs/depth.did.Rap1.4M.log.err-474:real	0m38.899s
logs/depth.did.Rap1.4M.log.err-475:real	0m44.743s
logs/depth.did.Rap1.4M.log.err-476:real	0m45.690s
logs/depth.did.Rap1.4M.log.err-477:real	0m39.739s
logs/depth.did.Rap1.4M.log.err-478:real	0m39.223s
logs/depth.did.Rap1.4M.log.err-479:real	0m39.768s
logs/depth.did.Rap1.4M.log.err-48:real	0m38.766s
logs/depth.did.Rap1.4M.log.err-480:real	0m45.260s
logs/depth.did.Rap1.4M.log.err-481:real	0m38.847s
logs/depth.did.Rap1.4M.log.err-482:real	0m44.554s
logs/depth.did.Rap1.4M.log.err-483:real	0m45.475s
logs/depth.did.Rap1.4M.log.err-484:real	0m39.017s
logs/depth.did.Rap1.4M.log.err-485:real	0m39.485s
logs/depth.did.Rap1.4M.log.err-486:real	0m39.427s
logs/depth.did.Rap1.4M.log.err-487:real	0m39.152s
logs/depth.did.Rap1.4M.log.err-488:real	0m39.341s
logs/depth.did.Rap1.4M.log.err-489:real	0m39.863s
logs/depth.did.Rap1.4M.log.err-49:real	0m40.347s
logs/depth.did.Rap1.4M.log.err-490:real	0m39.137s
logs/depth.did.Rap1.4M.log.err-491:real	0m39.619s
logs/depth.did.Rap1.4M.log.err-492:real	0m39.507s
logs/depth.did.Rap1.4M.log.err-493:real	0m40.633s
logs/depth.did.Rap1.4M.log.err-494:real	0m38.672s
logs/depth.did.Rap1.4M.log.err-495:real	0m39.336s
logs/depth.did.Rap1.4M.log.err-496:real	0m44.720s
logs/depth.did.Rap1.4M.log.err-497:real	0m41.126s
logs/depth.did.Rap1.4M.log.err-498:real	0m39.272s
logs/depth.did.Rap1.4M.log.err-499:real	0m38.717s
logs/depth.did.Rap1.4M.log.err-5:real	0m46.610s
logs/depth.did.Rap1.4M.log.err-50:real	0m39.050s
logs/depth.did.Rap1.4M.log.err-500:real	0m44.253s
logs/depth.did.Rap1.4M.log.err-501:real	0m45.863s
logs/depth.did.Rap1.4M.log.err-502:real	0m38.670s
